id,active,name,nickname,number,position,birthdate,place_of_birth,height,weight,city,state,country,avatar_photo,League_ID,League_Name,Season_ID,Season_Year,Team_ID,Team_Name,Team_Acronym,Team_Market,Player_Cluster_Number,CREATE_USER,CREATE_TS,UPDATE_USER,UPDATE_TS
21,1,Felipe Gustavo Da Silva,Felipe,90,1,10/22/1990,Araraquara (SP),1.87,NaN,Araraquara (SP),,,,1,NBB,2,2009,10,Araraquara,ARA,,5,root,2022-07-13 13:37:29.0,root,2022-07-13 13:37:29.0
21,1,Felipe Gustavo Da Silva,Felipe,90,1,10/22/1990,Araraquara (SP),1.87,NaN,Araraquara (SP),,,,1,NBB,3,2010,10,Araraquara,ARA,,5,root,2022-07-13 13:37:29.0,root,2022-07-13 13:37:29.0
22,1,Francisco Tardivo Delben,Chico,7,5,06/29/1983,São Carlos (SP),2.02,NaN,São Carlos (SP),,,,1,NBB,2,2009,10,Araraquara,ARA,,5,root,2022-07-13 13:37:29.0,root,2022-07-13 13:37:29.0
22,1,Francisco Tardivo Delben,Chico,7,5,06/29/1983,São Carlos (SP),2.02,NaN,São Carlos (SP),,,,1,NBB,3,2010,10,Araraquara,ARA,,5,root,2022-07-13 13:37:29.0,root,2022-07-13 13:37:29.0
22,1,Francisco Tardivo Delben,Chico,7,5,06/29/1983,São Carlos (SP),2.02,NaN,São Carlos (SP),,,,1,NBB,8,2012,19,São José,SJO,,5,root,2022-07-13 13:37:29.0,root,2022-07-13 13:37:29.0
23,1,Arlindo Gomes Baltazar Neto,Neto,14,4,01/05/1986,Vilhena (RO),NaN,76,Vilhena (RO),,,,1,NBB,2,2009,10,Araraquara,ARA,,7,root,2022-07-13 13:37:29.0,root,2022-07-13 13:37:29.0
23,1,Arlindo Gomes Baltazar Neto,Neto,14,4,01/05/1986,Vilhena (RO),NaN,76,Vilhena (RO),,,,1,NBB,3,2010,10,Araraquara,ARA,,7,root,2022-07-13 13:37:29.0,root,2022-07-13 13:37:29.0
23,1,Arlindo Gomes Baltazar Neto,Neto,14,4,01/05/1986,Vilhena (RO),NaN,76,Vilhena (RO),,,,1,NBB,8,2012,23,L. Sorocabana,LSB,,7,root,2022-07-13 13:37:29.0,root,2022-07-13 13:37:29.0
23,1,Arlindo Gomes Baltazar Neto,Neto,14,4,01/05/1986,Vilhena (RO),NaN,76,Vilhena (RO),,,,1,NBB,15,2013,52,Palmeiras,PAL,,7,root,2022-07-13 13:37:29.0,root,2022-07-13 13:37:29.0
23,1,Arlindo Gomes Baltazar Neto,Neto,14,4,01/05/1986,Vilhena (RO),NaN,76,Vilhena (RO),,,,1,NBB,20,2014,52,Palmeiras,PAL,,7,root,2022-07-13 13:37:29.0,root,2022-07-13 13:37:29.0
