season_id,Season_Year,athlete_id,Full_Name,Nickname,Jersey_Number,Position,Height,Weight,Team_ID,Team_Name,Team_Acronym,played_matches,played_minutes,total_points,lost_points,tried_points,total_points_percentage,two_points,lost_two_points,tried_two_points,total_two_points_percentage,three_points,lost_three_points,tried_three_points,total_three_points_percentage,free_throw_points,lost_free_throw_points,tried_free_throw_points,free_throws_percentage,dunk_points,lost_dunk_points,tried_dunk_points,total_dunk_points_percentage,tap_points,lost_tap_points,tried_tap_points,total_tap_points_percentage,total_rebounds,offensive_rebounds,defensive_rebounds,steals,total_assists,total_throws,tried_throws,correct_throws,wrong_throws,total_throws_percentage,two_points_throws_total,correct_two_points_throws,wrong_two_points_throws,total_two_points_throws_percentage,three_points_throws_total,correct_three_points_throws,wrong_three_points_throws,total_three_points_throws_percentage,total_free_throws,correct_free_throws,wrong_free_throws,total_free_throws_percentage,total_of_dunks,correct_dunks,wrong_dunks,total_of_dunks_percentage,total_of_taps,correct_taps,wrong_taps,total_of_taps_percentage,total_of_rebound_shots,correct_rebound_shots,total_of_rebound_shots_missed,total_of_rebound_shots_percentage,offensive_fouls,disqualifying_fouls,technical_fouls,unsportsmanlike_fouls,commited_fouls,received_fouls,total_fouls,total_of_violations,twenty_four_seconds_violations,eight_seconds_violations,five_seconds_violations,three_seconds_violations,conducting_violations,field_back_violations,interception_violations,out_field_violations,walk_violations,total_of_blocks,total_of_errors,double_double_total,triple_double_total,bench_points,efficiency,plus_minus,turnovers,CREATE_USER,CREATE_TS,UPDATE_USER,UPDATE_TS,League_ID,League_Name
1,2008,25,Deivisson Dos Santos Costa,Deivisson,15,3,2.1,NaN,14,Franca,FRA,1,0,178,270,270,0.6593,144,40,112,1.2857,0,1,1,0,34,9,43,0.7907,0,0,0,NaN,0,0,0,NaN,84,31,53,10,10,156,156,0,262,0,112,72,40,0.6429,1,0,1,0,43,34,9,0.7907,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,0,78,0,78,0,0,0,0,0,0,0,0,0,0,8,23,0,0,0,217,NaN,0,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
1,2008,30,Matheus dos Prazeres Costa,Matheus,6,1,1.8,NaN,14,Franca,FRA,1,0,279,709,709,0.3935,88,51,95,0.9263,153,104,155,0.9871,38,16,54,0.7037,0,0,0,NaN,0,0,0,NaN,80,18,62,27,128,304,304,0,335,0,95,44,51,0.4632,155,51,104,329,54,38,16,0.7037,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,0,77,0,77,0,0,0,0,0,0,0,0,0,0,3,55,2,0,0,291,NaN,0,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
1,2008,80,José Anibal Arantes Limonta Silva,Zezinho,14,1,1.84,NaN,14,Franca,FRA,1,0,22,42,42,0.5238,10,3,8,1.25,3,2,3,1,9,8,17,0.5294,0,0,0,NaN,0,0,0,NaN,8,2,6,3,6,28,28,0,41,0,8,5,3,625,3,1,2,0.3333,17,9,8,0.5294,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,19,NaN,0,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
1,2008,96,Cauê Borges dos Santos,Cauê,4,2,1.87,90,14,Franca,FRA,1,0,38,81,81,0.4691,22,11,22,1,3,5,6,0.5,13,6,19,0.6842,0,0,0,NaN,0,0,0,NaN,26,10,16,7,6,47,47,0,70,0,22,11,11,0.5,6,1,5,0.1667,19,13,6,0.6842,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,50,NaN,0,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
1,2008,97,Cauê Verzola de Freitas,Cauê,8,1,1.92,95,14,Franca,FRA,1,0,101,214,214,472,66,13,46,1.4348,21,24,31,0.6774,14,15,29,0.4828,0,0,0,NaN,0,0,0,NaN,61,17,44,28,34,106,106,0,146,0,46,33,13,0.7174,31,7,24,0.2258,29,14,15,0.4828,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,0,54,0,54,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,161,NaN,0,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
1,2008,130,Rafael Donatti Alves Maia,Maia,19,3,2.01,NaN,17,Paulistano,CAP,1,0,48,103,103,466,38,13,32,1.1875,0,6,6,0,10,11,21,0.4762,2,0,2,1,0,0,0,NaN,38,20,18,8,5,59,59,0,88,0,32,19,13,0.5938,6,0,6,0,21,10,11,0.4762,1,1,0,1,0,0,0,NaN,0,0,0,NaN,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,63,NaN,0,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
1,2008,159,William Fournou Drudi,Drudi,19,3,2.04,100,14,Franca,FRA,1,0,380,691,691,0.5499,284,139,281,1.0107,3,4,5,0.6,93,21,114,0.8158,6,0,6,1,0,0,0,NaN,189,46,143,15,32,400,400,0,634,0,281,142,139,0.5053,5,1,4,0.2,114,93,21,0.8158,3,3,0,1,0,0,0,NaN,0,0,0,NaN,0,0,0,0,72,0,72,0,0,0,0,0,0,0,0,0,0,12,49,3,0,0,415,NaN,0,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
1,2008,166,Vinícius Villela Gobor,Vinícius,7,1,NaN,90,17,Paulistano,CAP,1,0,118,269,269,0.4387,40,34,54,0.7407,57,26,45,1.2667,21,5,26,0.8077,0,0,0,NaN,0,0,0,NaN,40,6,34,13,49,125,125,0,147,0,54,20,34,0.3704,45,19,26,0.4222,26,21,5,0.8077,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,0,67,0,67,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,95,NaN,0,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
1,2008,175,Thiago Farias Mathias Rosa,Mathias,12,3,2.08,120,17,Paulistano,CAP,1,0,42,79,79,0.5316,38,15,34,1.1176,0,1,1,0,4,4,8,0.5,4,0,4,1,0,0,0,NaN,55,22,33,6,2,43,43,0,66,0,34,19,15,0.5588,1,0,1,0,8,4,4,0.5,2,2,0,1,0,0,0,NaN,0,0,0,NaN,0,0,0,0,55,0,55,0,0,0,0,0,0,0,0,0,0,16,13,0,0,0,88,NaN,0,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
1,2008,271,Thomas Lutke Gehrke,Gehrke,14,5,2.03,NaN,17,Paulistano,CAP,1,0,303,588,588,0.5153,184,74,166,1.1084,36,34,46,0.7826,83,35,118,0.7034,10,0,10,1,0,0,0,NaN,167,54,113,11,30,330,330,0,493,0,166,92,74,0.5542,46,12,34,0.2609,118,83,35,0.7034,5,5,0,1,0,0,0,NaN,0,0,0,NaN,0,0,0,0,84,0,84,0,0,0,0,0,0,0,0,0,0,15,51,3,0,0,332,NaN,0,root,2022-07-13 14:40:05.0,root,2022-07-13 14:40:05.0,1,NBB
1,2008,273,Luiz Felipe Elizeu Mendes Ribeiro,Felipe,33,5,2.03,100,14,Franca,FRA,1,0,236,504,504,0.4683,142,81,152,0.9342,30,30,40,0.75,64,16,80,0.8,22,0,22,1,0,0,0,NaN,129,34,95,55,29,272,272,0,397,0,152,71,81,0.4671,40,10,30,0.25,80,64,16,0.8,11,11,0,1,0,0,0,NaN,0,0,0,NaN,0,0,0,0,78,0,78,0,0,0,0,0,0,0,0,0,0,21,47,1,0,0,296,NaN,0,root,2022-07-13 14:40:05.0,root,2022-07-13 14:40:05.0,1,NBB
1,2008,295,Guilherme Barros Da Luz,Guilherme Luz,25,1,1.89,NaN,14,Franca,FRA,1,0,140,369,369,0.3794,58,45,74,0.7838,45,44,59,0.7627,37,7,44,0.8409,0,0,0,NaN,0,0,0,NaN,39,11,28,18,66,177,177,0,228,0,74,29,45,0.3919,59,15,44,0.2542,44,37,7,0.8409,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,0,74,0,74,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,135,NaN,0,root,2022-07-13 14:40:05.0,root,2022-07-13 14:40:05.0,1,NBB
1,2008,326,Thomaz de Moura Melazzo,T. Melazzo,8,5,2.02,NaN,17,Paulistano,CAP,1,0,70,161,161,0.4348,42,19,40,1.05,15,14,19,0.7895,13,11,24,0.5417,4,0,4,1,0,0,0,NaN,51,23,28,7,7,83,83,0,112,0,40,21,19,525,19,5,14,0.2632,24,13,11,0.5417,2,2,0,1,0,0,0,NaN,0,0,0,NaN,0,0,0,0,29,0,29,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,80,NaN,0,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
1,2008,327,Arthur Henrique Stela Bernardi,Arthur,14,1,0,NaN,17,Paulistano,CAP,1,0,0,4,4,0,0,2,2,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,0,2,2,2,0,2,0,2,0,2,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,NaN,0,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
1,2008,329,Rodrigo Stefanelli Martins,Rodrigo,10,1,0,NaN,17,Paulistano,CAP,1,0,291,685,685,0.4248,110,42,97,1134,141,101,148,0.9527,40,7,47,0.8511,0,0,0,NaN,0,0,0,NaN,82,20,62,34,59,292,292,0,340,0,97,55,42,567,148,47,101,0.3176,47,40,7,0.8511,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,0,51,0,51,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,266,NaN,0,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
1,2008,358,Fransérgio Gilberto Marques,Fransérgio,20,2,1.89,NaN,17,Paulistano,CAP,1,0,180,445,445,0.4045,76,55,93,0.8172,78,47,73,1.0685,26,14,40,0.65,0,0,0,NaN,0,0,0,NaN,60,23,37,21,10,206,206,0,244,0,93,38,55,0.4086,73,26,47,0.3562,40,26,14,0.65,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,0,87,0,87,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,124,NaN,0,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
1,2008,445,Márcio da Silva Dornelles,Márcio,15,2,1.96,96,14,Franca,FRA,1,0,323,719,719,0.4492,126,85,148,0.8514,138,63,109,1.2661,59,37,96,0.6146,8,0,8,1,0,0,0,NaN,59,33,26,25,31,353,353,0,429,0,148,63,85,0.4257,109,46,63,422,96,59,37,0.6146,4,4,0,1,0,0,0,NaN,0,0,0,NaN,0,0,0,0,44,0,44,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,228,NaN,0,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
1,2008,446,Rogério Klafke,Rogério,14,2,2,NaN,14,Franca,FRA,1,0,516,1038,1038,0.4971,242,97,218,1.1101,165,100,155,1.0645,109,28,137,0.7956,4,0,4,1,0,0,0,NaN,175,50,125,35,77,510,510,0,685,0,218,121,97,555,155,55,100,0.3548,137,109,28,0.7956,2,2,0,1,0,0,0,NaN,0,0,0,NaN,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,6,63,0,0,0,521,NaN,0,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
