player_id;player_name;player_nickname;last_team_id;last_team_name;last_team_acronym
21;Felipe Gustavo Da Silva;Felipe;10;Araraquara;ARA
22;Francisco Tardivo Delben;Chico;19;São José;SJO
23;Arlindo Gomes Baltazar Neto;Neto;18;Pinheiros;PIN
25;Deivisson Dos Santos Costa;Deivisson;19;São José;SJO
26;Jhonatan Luz dos Santos;Jhonatan;2;Flamengo;FLA
28;Ricardo Leopoldo de Azevedo;Ricardo;23;L. Sorocabana;LSB
29;Thyago Taroni Aleo;Thyago Aleo;52;Palmeiras;PAL
30;Matheus dos Prazeres Costa;Matheus;14;Franca;FRA
31;Arthur Luiz Belchor Silva;Arthur;282;Brasília;BSB
33;Frederico Rossi Dos Santos;Rossi;3;Brasília Antigo;BRA
34;Márcio Santos Cipriano;Cipriano;23;L. Sorocabana;LSB
35;Rafael Rodrigues;Mineiro;19;São José;SJO
36;José Estevam Ferreira Junior;Estevão;129;Rio Claro;RCB
38;Cláudio Antônio Gomes Clemente;Brasília;20;Uberlândia;UBE
39;Diego Pinheiro Da Silva;Diego;3;Brasília Antigo;BRA
40;Audrei Parisotto;Audrei;16;Minas;MIN
43;Shilton Alessanco dos Santos;Shilton;16;Minas;MIN
44;Bernardo Guimarães  Barreto;Bernardo;20;Uberlândia;UBE
45;Evandro Fernandes Pinto;Soró;23;L. Sorocabana;LSB
46;Douglas De Paulo Viegas;Viegas;1;Joinville;JOI
48;Eduardo Citrangolo Barbosa;Barbosa;25;Londrina;LON
50;Augusto Cesar Bresolin Goes;Augusto;1;Joinville;JOI
51;Eric Aparecido Soares;Eric;55;Suzano;SUZ
52;Marcos Martins da Rosa;Marcão;1;Joinville;JOI
53;Raul Oliveira Rodrigues;Raul;20;Uberlândia;UBE
54;Vinicius Bristott;V. Bristott;1;Joinville;JOI
55;Andre Luiz G. de Oliveira;Andre;24;Saldanha;SAL
56;Jamison Rudy Van Brewer;Brewer;18;Pinheiros;PIN
57;André Luiz Bresolin Góes;André Goes;54;Mogi;MOG
58;Alexandre Henrique Santos Pinheiro;Xande;16;Minas;MIN
59;Manuil Egídio Leal De Souza;Manuil;21;Espírito Santo;ESB
60;Robson Coimbra Vesper;Robson;21;Espírito Santo;ESB
62;Tiago Valentim de Lima;Tiagão;268;Joinville / AABJ;JLE
63;Johnnie Nascimento Silva Reis;Johnnie;21;Espírito Santo;ESB
64;James Clarence Parker;Jay Parker;21;Espírito Santo;ESB
65;Bruno Lira Barbosa da Silva;Bruno;21;Espírito Santo;ESB
66;Magen Pharez McNeil;McNeil;21;Espírito Santo;ESB
68;Rodrigo Alves Maistro;Biro;130;Campo Mourão;CMO
70;Jefferson de Souza Sobral;J. Sobral;23;L. Sorocabana;LSB
71;Harper Terry Williams;Williams;14;Franca;FRA
72;Tramaine Deshaun Stevens;Stevens;21;Espírito Santo;ESB
75;Rodrigo Pereira Santos Bispo;Rodrigo Bahia;29;Tijuca;TIJ
78;Guilherme Giovannoni;Giovannoni;279;Corinthians;COR
80;José Anibal Arantes Limonta Silva;Zezinho;26;Assis;ASS
81;Anderson Eurípedes Ferreira;Mosso;16;Minas;MIN
84;Jonh Albert Thomas;Thomas;26;Assis;ASS
85;André de Souza Silva;Andrezão;282;Brasília;BSB
86;Guilherme Filipin Alves Pereira;Filipin;54;Mogi;MOG
91;Hélio Rubens Garcia Filho;Helinho;14;Franca;FRA
93;Felipe Taddei;Taddei;130;Campo Mourão;CMO
95;Ricardo Luis Probst;Ricardo Probst;1;Joinville;JOI
96;Cauê Borges dos Santos;Cauê;267;Botafogo;BOT
97;Cauê Verzola de Freitas;Cauê;53;Basq. Cearense;CEA
99;Luis  Fernando de Souza;L. Fernando;18;Pinheiros;PIN
100;Lucas Daniel Tischer;Tischer;129;Rio Claro;RCB
